time,geography,geography_name,grade,N_dtap,N_polio,N_mmr,N_hep_b,N_varicella,N_personal_exempt,N_medical_exempt,N_full_exempt,pct_dtap,pct_polio,pct_mmr,pct_hep_b,pct_varicella,pct_personal_exempt,pct_medical_exempt,pct_full_exempt
09-01-2014,15001,Hawaii,Overall,NA,NA,NA,NA,NA,730.05,18.49,NA,NA,NA,NA,NA,NA,2.62,0.07,NA
09-01-2015,15001,Hawaii,Overall,NA,NA,NA,NA,NA,718.27,12.94,NA,NA,NA,NA,NA,NA,2.48,0.04,NA
09-01-2016,15001,Hawaii,Overall,NA,NA,NA,NA,NA,939.99,12.04,NA,NA,NA,NA,NA,NA,3.40,0.04,NA
09-01-2017,15001,Hawaii,Overall,NA,NA,NA,NA,NA,532.14,17.93,NA,NA,NA,NA,NA,NA,2.39,0.08,NA
09-01-2018,15001,Hawaii,Overall,NA,NA,NA,NA,NA,1191.02,17.94,NA,NA,NA,NA,NA,NA,3.98,0.06,NA
09-01-2019,15001,Hawaii,Overall,NA,NA,NA,NA,NA,1371.82,30.01,NA,NA,NA,NA,NA,NA,4.82,0.11,NA
09-01-2021,15001,Hawaii,Overall,NA,NA,NA,NA,NA,1171.16,24.96,NA,NA,NA,NA,NA,NA,6.01,0.13,NA
09-01-2022,15001,Hawaii,Overall,NA,NA,NA,NA,NA,1459.84,31.07,NA,NA,NA,NA,NA,NA,5.45,0.12,NA
09-01-2023,15001,Hawaii,Overall,NA,NA,NA,NA,NA,2322.05,51.97,NA,NA,NA,NA,NA,NA,7.80,0.17,NA
09-01-2014,15003,Honolulu,Overall,NA,NA,NA,NA,NA,832.77,67.64,NA,NA,NA,NA,NA,NA,0.57,0.05,NA
09-01-2015,15003,Honolulu,Overall,NA,NA,NA,NA,NA,570.43,27.40,NA,NA,NA,NA,NA,NA,0.41,0.02,NA
09-01-2016,15003,Honolulu,Overall,NA,NA,NA,NA,NA,761.38,50.28,NA,NA,NA,NA,NA,NA,0.63,0.04,NA
09-01-2017,15003,Honolulu,Overall,NA,NA,NA,NA,NA,1283.89,51.07,NA,NA,NA,NA,NA,NA,1.31,0.05,NA
09-01-2018,15003,Honolulu,Overall,NA,NA,NA,NA,NA,1300.29,76.12,NA,NA,NA,NA,NA,NA,0.91,0.05,NA
09-01-2019,15003,Honolulu,Overall,NA,NA,NA,NA,NA,1360.21,77.97,NA,NA,NA,NA,NA,NA,1.01,0.06,NA
09-01-2021,15003,Honolulu,Overall,NA,NA,NA,NA,NA,1522.95,78.41,NA,NA,NA,NA,NA,NA,1.52,0.08,NA
09-01-2022,15003,Honolulu,Overall,NA,NA,NA,NA,NA,1844.82,121.26,NA,NA,NA,NA,NA,NA,1.75,0.11,NA
09-01-2023,15003,Honolulu,Overall,NA,NA,NA,NA,NA,3105.95,182.87,NA,NA,NA,NA,NA,NA,2.46,0.14,NA
09-01-2014,15007,Kauai,Overall,NA,NA,NA,NA,NA,446.97,9.94,NA,NA,NA,NA,NA,NA,4.28,0.10,NA
09-01-2015,15007,Kauai,Overall,NA,NA,NA,NA,NA,197.54,3.30,NA,NA,NA,NA,NA,NA,2.40,0.04,NA
09-01-2016,15007,Kauai,Overall,NA,NA,NA,NA,NA,462.95,4.89,NA,NA,NA,NA,NA,NA,5.62,0.06,NA
09-01-2017,15007,Kauai,Overall,NA,NA,NA,NA,NA,194.02,6.01,NA,NA,NA,NA,NA,NA,4.56,0.14,NA
09-01-2018,15007,Kauai,Overall,NA,NA,NA,NA,NA,605.05,6.04,NA,NA,NA,NA,NA,NA,5.62,0.06,NA
09-01-2019,15007,Kauai,Overall,NA,NA,NA,NA,NA,591.93,5.97,NA,NA,NA,NA,NA,NA,6.19,0.06,NA
09-01-2021,15007,Kauai,Overall,NA,NA,NA,NA,NA,412.00,4.00,NA,NA,NA,NA,NA,NA,7.11,0.07,NA
09-01-2022,15007,Kauai,Overall,NA,NA,NA,NA,NA,385.00,4.97,NA,NA,NA,NA,NA,NA,8.24,0.11,NA
09-01-2023,15007,Kauai,Overall,NA,NA,NA,NA,NA,801.07,25.91,NA,NA,NA,NA,NA,NA,8.19,0.26,NA
09-01-2014,15009,Maui,Overall,NA,NA,NA,NA,NA,466.51,7.43,NA,NA,NA,NA,NA,NA,1.85,0.03,NA
09-01-2015,15009,Maui,Overall,NA,NA,NA,NA,NA,331.99,4.06,NA,NA,NA,NA,NA,NA,1.59,0.02,NA
09-01-2016,15009,Maui,Overall,NA,NA,NA,NA,NA,540.29,12.60,NA,NA,NA,NA,NA,NA,2.47,0.06,NA
09-01-2017,15009,Maui,Overall,NA,NA,NA,NA,NA,269.94,8.92,NA,NA,NA,NA,NA,NA,2.01,0.07,NA
09-01-2018,15009,Maui,Overall,NA,NA,NA,NA,NA,827.80,14.94,NA,NA,NA,NA,NA,NA,3.46,0.06,NA
09-01-2019,15009,Maui,Overall,NA,NA,NA,NA,NA,829.15,25.97,NA,NA,NA,NA,NA,NA,3.44,0.11,NA
09-01-2021,15009,Maui,Overall,NA,NA,NA,NA,NA,662.01,29.91,NA,NA,NA,NA,NA,NA,4.45,0.20,NA
09-01-2022,15009,Maui,Overall,NA,NA,NA,NA,NA,1074.14,37.06,NA,NA,NA,NA,NA,NA,5.89,0.20,NA
09-01-2023,15009,Maui,Overall,NA,NA,NA,NA,NA,1315.76,35.04,NA,NA,NA,NA,NA,NA,6.65,0.18,NA
